Current Date,Avg Time,Avg Best,Avg Worst,Max Iterations,Search Agents,Runs,Avg Iterations For Result
2021-12-05 18:16:06.526759,156.42588791847228,18.8,29.4,10000,50,5,4619.2
2021-12-05 18:41:35.573680,228.04662351608278,19.4,30.0,10000,70,5,2304.8
2021-12-05 19:56:01.382339,318.7314751148224,19.4,30.2,10000,100,5,4852.4
2021-12-05 20:58:21.254968,334.84568495750426,19.0,30.0,15000,70,5,8695.0
2021-12-06 14:08:12.022660,521.1682748317719,17.8,29.0,20000,70,5,6481.2
2021-12-06 22:55:05.662027,662.6557913780213,18.4,27.4,25000,70,5,13414.2
2021-12-07 00:02:28.358264,800.2142640590667,18.0,28.4,30000,70,5,3021.8
2021-12-07 01:12:31.555328,823.5046683311463,19.2,28.8,35000,70,5,9611.0
