Current Date,Execution Time,Best,Worst,Max Iterations, Search Agents
2021-11-29 11:38:22.011541,286.4934456348419,21,31.0,10000,70
2021-11-29 11:48:56.738536,460.30773067474365,19,29.0,15000,70
2021-11-29 12:00:35.724880,623.7055053710938,17,31.0,20000,70
2021-11-29 12:31:53.033183,732.1340982913971,18,29.0,25000,70
2021-11-29 13:08:42.509749,872.2694194316864,19,31.0,30000,70
2021-11-29 13:32:34.076041,1120.6069445610046,19,34.0,35000,70
